url_too_long,url_contain_@,url_contain_hyphen,redirects,not_indexed_by_google,certificate_age,TTL,ip_address_count,count_domain_occurrences,page_rank_decimal,is_malicious,url
1,0,0,1,0,0,30,1,189,5.07,0,http://www.niedziela.pl/artykul/39133/eksperci-apeluja-do-polskich-wladz-zlobki
1,0,1,1,0,0,30,2,0,2.77,1,http://www.exquisitedesires.com/~xerge/6e3bfba368e4e411f0ea467231c8567a/index.php
0,0,0,0,0,0,30,2,0,0,1,http://afex.biz/gmail_verificar/ServiceLoginAuth/fwd/
0,0,0,0,0,-88,30,1,221,5.14,0,https://asmbs.org/chapters/virginia
0,0,0,1,0,0,5,1,80,5.47,0,http://www.whathifi.com/canton/dm100/review
1,0,0,0,0,-145,30,1,0,5.25,0,https://www.tdsb.on.ca/portals/_default/upcoming_event/guest%20speaker%20-tess_paye_febuary%202019.pdf
1,0,1,1,0,0,20,2,0,4.63,0,http://www.the-linde-group.com/de/corporate_responsibility/employees_and_society/competing_for_talent/index.html
1,0,1,0,0,-316,30,3,15,5.36,0,https://homesmart.com/real-estate-agent/california/palmdesert/44759-thomas-tucker/smart_partners
1,0,1,0,0,-266,30,1,37,4.46,0,https://www.books-sanseido.co.jp/events/538935/%e6%a3%ae%e8%a6%8b%e3%81%95%e3%82%93%e8%bf%91%e5%bd%b1
0,0,1,1,0,0,30,3,4,8.17,1,http://tinyurl.com/zkxg4le
1,0,0,1,0,-284,30,5,7,4.94,0,https://www.finalsite.com/design/portfolio/~board/portfolio-2018/post/american-school-of-bombay
1,0,1,0,0,-318,30,4,141,5.03,0,https://www.nationalenquirer.com/photos/lisa-marie-presley-broke-scandal/
0,0,1,0,0,-32,30,2,127,4.91,0,https://themes4wp.com/contact/
1,0,0,0,0,0,30,1,390,5.1,0,http://www.naphill.org/product-category/napoleon-hill-classics/?product_orderby=date
1,0,1,1,0,0,30,2,0,3.4,0,http://www.dominios.com.co/buscar/?tld=.brujasdecartagena.com.co&domain=www
1,0,0,0,0,0,30,1,134,2.89,0,http://ch.ai/2010/02/06/cheeky-yorkshire-tea-commercial-from-the-uk/
1,0,1,1,0,-83,30,1,155,4.78,0,https://www.cweonline.org/about-cwe/cwe-eastern-massachusetts/grow
1,0,1,0,0,-390,30,1,138,5.23,0,https://www.oswego.edu/atmospheric-geological-sciences/opportunities
0,0,1,1,0,-60,30,2,224,4.3,0,https://wild-about-travel.com/oceania/
1,0,1,0,0,-163,29,3,29,3.99,0,https://www.leylobby.gob.cl/instituciones/mu239/cargos-pasivos/133528/donativos
